Symbol,marketCap,regularMarketVolume,earningsQuarterlyGrowth,bookValue,totalRevenue,returnOnAssets,profitMargins,earningsGrowth,return_2020
ADANIPORTS,1.65775E+12,12901505,-0.179,180.288,1.59008E+11,0,0.28441998,-0.207,-16.89136791
ASIANPAINT,3.16785E+12,933762,0.789,143.991,3.1987E+11,0,0.10876001,0.788,-3.813725699
AXISBANK,2.22143E+12,6403035,0.859,400.581,4.33654E+11,0.01474,0.37225,0.855,-43.30537196
BAJAJ-AUTO,9.9696E+11,442625,-0.006,1033.043,3.48966E+11,0,0.17649001,-0.007,-0.566448194
BAJFINANCE,4.34308E+12,819955,1.59,724.584,2.02326E+11,0,0.42613998,1.586,-34.80940641
BAJAJFINSV,2.62312E+12,1463700,0.572,252.906,6.89474E+11,0,0.073,0.574,-23.62225946
BHARTIARTL,4.78201E+12,12618355,4.668,113.164,1.23015E+12,0,0.04535,4.462,-11.6153029
BRITANNIA,9.08283E+11,251820,-0.134,106.203,1.43913E+11,0,0.10233,-0.134,26.41311135
CIPLA,9.12722E+11,2601488,-0.04,258.321,2.16342E+11,0,0.11502,-0.04,51.15186312
COALINDIA,1.32468E+12,11396434,1.787,70.006,1.13903E+12,0,0.20211,1.788,-33.50914992
DIVISLAB,9.89363E+11,549553,0.26,441.792,92538003456,0,0.33556998,0.26,48.45416239
DRREDDY,7.33357E+11,695228,1.081,1207.296,2.17351E+11,0.07814,0.13681,1.079,62.82279993
EICHERMOT,9.47074E+11,2179934,1.575,461.117,1.1579E+11,0,0.17706,1.575,-1.940860839
GRASIM,1.07741E+12,472975,0.16,1152.598,1.03823E+12,0,0.075279996,0.16,-18.49023755
HCLTECH,2.52439E+12,1598435,-0.025,2.827,11786000384,0.11816,0.15238,-0.021,21.54390387
HDFCBANK,7.87147E+12,5769571,0.209,465.81,9.60154E+11,0.020060001,0.41358003,0.203,-26.17392573
HDFCLIFE,1.1139E+12,2949935,0.087,73.068,5.93497E+11,0.00532,0.023359999,0.044,-19.04799245
HEROMOTOCO,5.0466E+11,658481,1.305,793.078,3.2496E+11,0,0.08158,1.304,-3.169093642
HINDALCO,8.49846E+11,8498978,0.478,351.611,2.11719E+12,0,0.07114,0.479,15.58639512
HINDUNILVR,6.16272E+12,1682946,0.135,208.807,5.4876E+11,0,0.16698,0.136,-26.25482504
HDFC,4.14906E+12,2499180,0.053,992.004,9.80016E+11,0,0.23327999,0.052,14.6648005
ICICIBANK,5.91045E+12,8231407,0.555,272.658,1.12078E+12,0.01768,0.24743,0.549,-35.07213692
ITC,3.99745E+12,9108572,0.117,48.064,6.06681E+11,0.15613,0.25125,0.115,-67.78286501
INDUSINDBK,9.03394E+11,3397746,0.605,568.756,1.70416E+11,0,0.31805,0.604,-26.35334303
INFY,5.84047E+12,4942041,-0.021,2.46,16972999680,0.1582,0.17368999,-0.035,-15.11062816
JSWSTEEL,1.50294E+12,1285890,-0.858,280.345,1.55555E+12,0,0.10028,-0.858,-15.74653222
KOTAKBANK,3.54236E+12,2439679,0.526,421.683,4.63416E+11,0,0.28136,0.524,-20.79507738
LT,2.55583E+12,1850257,0.449,515.177,1.65316E+12,0,0.055630002,0.449,-30.33569973
MARUTI,2.58188E+12,1122711,1.181,1738.176,9.70651E+11,0,0.04575,1.182,-13.24583233
NTPC,1.55486E+12,10526270,0.154,123.669,1.45958E+12,0,0.11785,0.153,13.82760674
NESTLEIND,1.83118E+12,52024,-0.043,241.478,1.56078E+11,0.22621,0.13545,-0.043,-29.04414677
ONGC,1.66628E+12,50960019,0.994,206.278,5.66059E+12,0,0.09093001,0.994,-36.15806909
POWERGRID,1.47008E+12,8801446,-0.366,109.308,4.2303E+11,0,0.34577,-0.366,-4.097545006
RELIANCE,1.6032E+13,5468093,0.43,1086.227,5.74995E+12,0.03101,0.09092,0.403,41.93560015
SBILIFE,1.23818E+12,981695,0.178,117.666,7.1758E+11,0.00424,0.021540001,0.179,-9.650797556
SHREECEM,7.47558E+11,98779,-0.556,3868.298,1.57896E+11,0,0.12550001,-0.556,-43.53079189
SBIN,4.63857E+12,9348383,0.559,306.205,2.1072E+12,0.00729,0.16787,0.56,2.163508792
SUNPHARMA,2.29661E+12,4444363,0.427,187.968,3.96975E+11,0,0.09798,0.433,22.48965725
TCS,1.10415E+13,1762851,0.052,233.603,1.99101E+12,0.22162001,0.19486,0.064,40.1143311
TATACONSUM,7.25557E+11,1652184,3.036,153.165,1.24254E+11,0.04287,0.07531,3.062,-42.47742093
TATASTEEL,1.2213E+11,37271954,-0.128,549.901,2.53924E+12,0,0.15364,-0.142,5.812786044
TECHM,9.76092E+11,2431027,-0.164,284.428,4.71563E+11,0,0.11334,-0.166,-12.9386764
TITAN,2.28534E+12,1049060,-0.096,84.541,2.8799E+11,0.09838,0.07545,-0.097,-6.251227611
UPL,5.08166E+11,1815708,0.297,249.237,4.624E+11,0.06382,0.07842,0.41,-5.368332633
ULTRACEMCO,1.81802E+12,337829,-0.07,1412.932,5.5933E+11,0,0.12919,-0.069,-22.46200236
WIPRO,2.15548E+12,4068760,-0.207,100.374,8.23696E+11,0.08191,0.14023,-0.208,13.64663844
